DATE,PAYMENTS_OVER_90_DAYS,ITEM_SALES_OVER_90_DAYS
20241101,10322979,279438870
20241102,11474604,290028470
20241103,12395103,306604251
20241104,12861936,343790070
20241105,14073899,351768081
20241106,14837376,376673158
20241107,15476711,421384543
20241108,16768256,467060093
20241109,18022795,510651244
20241110,19035700,559219631
20241111,20466285,601158518
20241112,21442813,617996599
20241113,22305224,648979410
20241114,22977557,697629936
20241115,5182162,178621205
20241116,6427813,230918948
20241117,7406082,284915240
20241118,8609898,330997736
20241119,9672021,360790378
20241120,10493072,394257700
20241121,11260980,444131579
20241122,12514178,501357899
20241123,13794506,540264513
20241124,14961363,594455702
20241125,16065498,631651370
20241126,17007419,660167729
20241127,17729748,686925487
20241128,18397640,740837572
20241129,19514236,788484404
20241130,21038506,797022606
