DATE,WEEKLY,DAILY_TOTAL,AM_00,AM_01,AM_02,AM_03,AM_04,AM_05,AM_06,AM_07,AM_08,AM_09,AM_10,AM_11,PM_12,PM_13,PM_14,PM_15,PM_16,PM_17,PM_18,PM_19,PM_20,PM_21,PM_22,PM_23
20241101,FRI,45085528,1848410,2156439,2891940,2449651,1356710,2291246,2762303,2380955,1857443,1380908,934010,928454,1182095,1142444,1788470,1780677,2766821,2412874,2257904,1690579,1765462,1991025,1485155,1591682
20241102,SAT,34293095,1355630,1099739,1794123,781156,1094871,1999941,3464491,1987008,1551435,780648,628308,766828,539691,402204,1922051,1772051,1715176,1418720,1437063,1124754,974568,1034607,2410383,2242582
20241103,SUN,17685720,2152083,397229,1182503,1560627,940796,1586921,1567315,1621165,1131194,343,2140314,195378,104908,127929,108974,224096,303896,371150,515552,208329,62740,97477,522982,565917
20241104,MON,41821954,139334,346441,738229,533302,339295,1189601,1970105,2439119,1739833,1401378,1018766,2246276,562555,492278,682336,821631,1625208,2019438,1973311,2403299,2917965,4752798,4374391,5101652
20241105,TUE,61604648,5553614,6173059,4884782,2691557,2450919,1909826,2549547,4234443,4639959,2184939,2136240,635017,1095367,1127191,1247571,1905365,1880222,1928837,2746754,1931906,1560850,2126685,2582582,1442002
20241106,WED,41445919,1023522,1111507,2223890,993520,777782,1691152,3257648,2841824,1983575,1974708,1924911,645168,1126283,697101,1372167,1496475,1575829,1581033,1736988,2056175,2519018,1988372,2900757,1957122
20241107,THR,42742041,1542866,1223202,2551565,1342702,876337,1200165,3354506,2816058,2136371,1902867,1364724,694613,936313,902752,1415372,1666061,1447697,2047985,2817015,2612177,2164555,1972943,2464421,1296310
20241108,FRI,34587102,1724303,988961,1508611,1602551,1307725,1205096,2995912,2625747,2229798,1604531,2002967,593669,928715,752790,1237691,1010493,1684676,628221,1736394,1133439,794200,830040,1672440,1795888
20241109,SAT,34357204,2213899,1962956,3266795,3198999,2386488,2472401,3515709,2833914,2529738,2217869,1318724,501940,770125,562285,461653,312713,379393,564774,574311,373048,376391,341932,668177,561008
20241110,SUN,28365734,1025813,815371,1032965,983730,1918093,1601981,2198134,2574110,1578729,1510196,1351843,1096983,962155,818609,769254,930830,857051,1247303,2232607,1545760,294922,270947,529402,223865
20241111,MON,36458750,171420,827250,45263,36595,1721242,992600,1946350,1471751,1512013,1010459,536560,380144,1734376,1699172,500914,561807,1032711,1059708,1524854,2052087,4160676,5615923,5212662,664792
20241112,TUE,58246289,2284280,5090320,5618709,5941326,4208263,1464263,3183304,3119488,3330984,2008802,1733147,783815,37277,1933931,1808650,1761880,1686315,1723524,1848411,1855993,1849111,1504135,1999671,1482077
20241113,WED,39269733,1520386,1227503,2418486,1878966,1034742,1656574,2909946,2806888,2198501,2054707,1645570,726304,908112,1026753,1179934,942976,1085893,1136879,2528445,1134820,1392906,1902345,2212270,1748110
20241114,THR,49989257,1817622,1469675,2308318,1830327,1507027,1680012,2928520,3584124,3224399,2774158,1704633,854380,983829,1225776,1771420,1856289,1740417,1914882,2644242,2891254,2231312,2707526,1898427,2453609
20241115,FRI,48397454,2138500,1656084,1946647,2844097,1576209,1978337,2385302,3638298,2727216,2629232,2195062,2005820,1618557,1237231,1242527,1269561,1096087,2063292,1804080,2915514,1448829,1715844,1705495,2567251
20241116,SAT,51025047,1598529,1317976,1642552,2748272,1561933,1889739,2384098,3710634,2762234,2541436,2184572,2238534,1722002,2028907,1696361,1608194,1741361,2036302,1976960,2171670,2107295,2117650,2172270,3071669
20241117,SUN,23806328,2660612,2154315,1755912,1517949,1239775,696598,666898,219312,217,416701,5007249,2214763,4261,581901,139505,323210,333393,543858,400565,1056548,346081,337111,182778,1010846
20241118,MON,29158493,177677,139445,170606,1870577,565252,1357902,2055453,3078340,3174889,2347216,1520387,1131822,809810,556368,415189,821093,685681,1064578,600226,1616950,1605302,1796193,599188,1005877
20241119,TUE,68548930,992868,764648,969215,2732717,1795475,2319850,2238463,3194430,4196421,3824553,3175691,2880065,2682680,1901313,1653372,1989253,1814926,2063608,2135660,4046469,4894427,4882091,5220918,6198157
20241120,WED,66618413,6317266,6378772,4435896,2673254,2072442,3173617,3441545,4315193,3343688,3350154,2835901,1717584,1457968,1337879,1486097,1075600,1286276,1588018,2409545,2783853,2431347,2143385,2140554,2438949
20241121,THR,50315724,2021400,2487008,1744428,2025227,1867358,1628209,1981462,3208671,4128575,3606169,1949460,1212268,966301,887440,819551,932295,1788189,1958058,1923805,2818401,2958500,2640677,2578188,3197269
20241122,FRI,61619307,2713120,2218639,2863420,3121175,3001653,2587994,3162058,3649087,4572617,4258621,2769890,1426223,1312360,1074892,1277639,1868159,1992417,1313008,2292200,3000048,3358267,3018834,2065559,2717339
20241123,SAT,45400488,2326754,2809992,2137020,1779843,799669,1315997,2827123,3512132,2956192,2225620,2160322,1233366,1116935,744224,1236113,1588971,1643691,1423822,1322757,2525664,2025766,1550366,1724917,2422077
20241124,SUN,27419682,2148399,2204735,2210598,1705843,1440889,1667660,869199,1196403,977215,421161,37024,44947,26977,50535,1341543,4697200,1305909,561418,584164,1521047,581319,421039,272755,1138435
20241125,MON,28236076,381921,1479480,271701,1119887,835594,2005148,2311499,3535271,3530221,2126852,1433050,950427,779851,787450,382354,468429,425007,523503,281165,744385,1150534,1258069,772674,686337
20241126,TUE,29372354,1129521,1127801,1046640,1221666,1131108,1143548,1950570,2018249,1368465,1303915,1324772,1171226,465658,487612,435043,913974,889270,886161,727300,641559,2317801,2602184,1762473,1315430
20241127,WED,67661465,
1259864,1919546,1548725,1526099,1658143,2529686,3144853,3620535,2442278,2853176,2854304,1675510,1032474,761508,971307,1270591,330393,4400911,5675760,5511573,5419820,5045550,4898500,5328716
20241128,THR,87617617,4755910,4710055,5091079,5995860,5350816,5122628,4692410,4246334,3980375,4048809,5382985,4883599,1793344,1509139,1453312,1270315,3744160,4700989,4495951,3370006,2058311,1957361,1665044,1359785
20241129,FRI,44360212,509741,649622,940950,701982,757998,1869317,2088302,3355909,3385916,2132690,1277774,1013170,601365,198586,2371640,2382211,1497777,1640479,2525963,3479364,2637812,1948071,2326802,4077155
20241130,SAT,55429387,2389888,1987609,1669196,3283139,2034281,2794105,2872681,4496177,3343164,3971050,2786768,2186328,1473805,1845715,1571568,1714143,1432276,1474353,1322552,2427669,1790165,1652143,1773018,2147406
