DATE,WEEKLY,DAILY_TOTAL,AM_00,AM_01,AM_02,AM_03,AM_04,AM_05,AM_06,AM_07,AM_08,AM_09,AM_10,AM_11,PM_12,PM_13,PM_14,PM_15,PM_16,PM_17,PM_18,PM_19,PM_20,PM_21,PM_22,PM_23
20241101,FRI,909736,132839,131008,39350,19129,14783,18145,20837,37730,35781,39738,32373,20712,30686,29094,28856,21669,24879,20456,28143,19369,17569,23202,38821,84612
20241102,SAT,737586,99630,103161,24588,52686,16137,40810,16623,27798,29283,28685,19466,40735,20393,30586,25491,13032,13784,8508,7422,11906,14068,23036,18775,51060
20241103,SUN,385839,81297,95602,11932,8794,4041,3543,24034,8547,7413,4719,3526,5921,19122,11010,7790,6679,3592,2683,4518,3024,13788,22294,16351,15711
20241104,MON,873794,26205,69995,6692,5145,4729,6557,45886,122303,18464,37357,32953,41661,34350,40850,35063,41046,23357,24149,15214,18018,19197,38260,102289,64097
20241105,TUE,1064380,116709,109668,129468,110345,40177,45868,24064,18537,50497,40858,43042,24825,23348,24312,28219,15334,13645,19238,17914,13910,24667,34020,37937,57826
20241106,WED,1003340,77983,200117,130005,12827,24602,15432,27218,19978,41704,50443,43338,29353,19385,20692,30101,20052,19953,17214,26754,19807,31140,44641,17565,63108
20241107,THR,931431,69398,119310,113263,11819,25572,15880,28039,16485,41007,39278,58400,27040,28271,34626,39896,26479,15367,17764,16710,12266,32832,33600,50318,57884
20241108,FRI,961600,48988,153321,102011,35305,26527,13861,20219,15571,33024,30446,54986,54765,24455,18974,36545,23053,16001,16922,18179,16869,30852,27089,50989,92700
20241109,SAT,706208,41277,100169,170356,11337,27978,19659,18881,13193,32406,34781,32517,17701,12786,18277,27236,12583,7263,4752,11930,7710,18396,25521,6967,32645
20241110,SUN,485795,49153,129895,20722,12257,13807,16829,12445,16042,27731,27301,10824,14496,10622,11133,15551,8210,4817,2807,5308,2322,15033,16613,28442,13465
20241111,MON,502096,90323,72548,19756,10799,13445,7345,7966,16845,37301,36221,23910,14117,12195,9711,14339,7887,6821,5615,4333,5745,7191,16939,40995,19758
20241112,TUE,1205632,15260,46168,52334,53530,278988,69186,24211,24790,9131,78199,55761,44971,37868,42396,41903,34463,19464,23872,26566,22647,61972,35859,23860,82329
20241113,WED,923736,74174,216236,164323,53050,18972,19857,27063,22964,33999,47531,36319,19196,15539,16905,18629,9015,6886,8999,25353,12719,23497,21402,12548,18594
20241114,THR,1037043,176160,144774,156423,23827,15618,43972,23837,25189,39111,62954,50991,26882,25739,25656,24345,21459,19212,16657,15305,22025,28305,30595,10465,7595
20241115,FRI,1140138,12111,18494,36739,75607,73418,57766,212549,67984,43487,55969,48370,30207,27719,38561,21749,32506,36018,11939,14165,14182,22400,28060,78331,81962
20241116,SAT,876238,68133,85032,164698,43012,20030,23208,22791,30033,38135,32637,27084,42495,21943,25145,28675,23570,19706,20315,13142,17864,22858,21032,33743,31060
20241117,SUN,405566,87516,52787,34466,3954,1013,12534,35972,5748,11812,11847,6230,7220,3547,4480,4888,8388,3983,2875,2010,11936,15840,3803,40307,32427
20241118,MON,730794,57168,77621,16345,13181,21316,25887,21807,33576,39113,28293,29585,44912,24826,36022,16419,30098,20911,12056,11476,13354,62233,13217,17824,63709
20241119,TUE,1138978,95673,115539,141736,95146,19270,101156,63261,41472,45957,37254,45730,55506,45498,33668,21385,23148,13298,10174,8770,8415,8924,25393,64258,18450
20241120,WED,1170944,67980,191349,246411,19540,15097,44816,39473,36123,48978,45041,46589,29680,23111,28401,21043,20106,19670,33747,25571,28436,24889,31126,15865,68032
20241121,THR,1006556,31271,89524,168427,77778,22797,43466,34086,23901,34359,61061,40588,30962,23634,33280,25138,33902,20570,23086,16040,23965,30017,34583,23979,60199
20241122,FRI,1158411,64201,134855,166589,23089,26122,26300,38550,27651,52599,41293,49330,46328,35978,24586,34757,36663,35376,24482,19485,23881,35372,43718,89824,57511
20241123,SAT,880220,54137,127394,155244,29255,17565,31951,22188,24687,32699,35493,32403,40914,20927,24106,20641,25244,17920,17024,11738,16061,21824,30714,41668,28488
20241124,SUN,475809,60568,122324,29234,4758,11882,4030,8170,7497,18666,8646,17697,40725,7458,6805,5497,10737,3932,3807,1980,9945,17399,11469,22538,40094
20241125,MON,421366,55506,97882,21916,19434,18714,29108,25656,29748,29019,30680,9931,7917,6168,5284,10847,6415,2901,3858,1568,686,2489,5174,316,263
20241126,TUE,374902,125,4403,83,4624,4886,520,4214,4908,5974,3980,10917,19534,26253,37783,11714,33593,15064,23191,24601,20797,30880,50776,20836,15341
20241127,WED,1986141,37991,101635,300881,49353,73303,32072,12178,14893,10276,21181,49159,13974,24193,72617,55231,164298,180027,146097,85035,90679,146698,145487,97082,62058
20241128,THR,1211979,77308,106532,75681,62971,13614,40632,34304,62375,24376,21771,20582,33024,83878,92360,108029,146623,57535,12988,6104,4582,13401,20998,67612,24844
20241129,FRI,847365,75522,27953,29943,16605,16716,26766,30442,29110,18950,21468,112844,40243,22828,27892,31505,34868,29923,31843,25168,28776,31761,28047,35029,73216
20241130,SAT,969415,25191,223311,88360,51269,20682,31759,39355,43437,35656,45050,34922,36789,26261,24495,23939,27506,18483,15281,19252,23061,20187,33165,13557,48531
