DATE,PAYMENT_DAILY_COUNT,ITEM_SALES_DAILY_COUNT
20241101,120105138,5301696199
20241102,121014874,5346781640
20241103,121752458,5381074321
20241104,122138297,5398760041
20241105,123012091,5440580821
20241106,124076471,5502185469
20241107,125079811,5543631321
20241108,126011241,5586373170
20241109,126972841,5620960025
20241110,127679049,5655317088
20241111,128164844,5683682822
20241112,128666940,5720141572
20241113,129872572,5778387827
20241114,130796295,5817657417
20241115,112911352,5308426689
20241116,114051490,5356823979
20241117,114927728,5407848665
20241118,115333294,5431654987
20241119,116064082,5460813479
20241120,117203060,5529360791
20241121,118374003,5595977740
20241122,119380559,5646291908
20241123,120538970,5707910817
20241124,121419190,5753311014
20241125,121895023,5780730599
20241126,122316389,5808965991
20241127,122691291,5833388077
20241128,124677428,5905997273
20241129,125889387,5993614705
20241130,126736752,6037973762
